id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code
7078,0AL6,heliport,"D.W. Mcmillian Memorial Hospital Heliport",31,-87,155,NA,US,US-AL,Brewton,no,0AL6,,0AL6
7079,0AL7,heliport,"Gadsden Regl Medical Center Heliport",34,-86,621,NA,US,US-AL,Gadsden,no,0AL7,,0AL7
7080,0AL8,heliport,"Brookwood Medical Center Heliport",33,-87,763,NA,US,US-AL,Birmingham,no,0AL8,,0AL8
7081,0AL9,small_airport,"Wilson Creek Airport",35,-88,590,NA,US,US-AL,Florence,no,0AL9,,0AL9
7082,0AR0,heliport,"Northwest Medical Center Springdale Heliport",36,-94,1352,NA,US,US-AR,Springdale,no,0AR0,,0AR0
7083,0AR1,closed,"Hooterville South Airport",35,-93,370,NA,US,US-AR,Centerville,no,,,
7084,0AR2,small_airport,"Mission Field-Marotti Memorial Airport",35,-90,217,NA,US,US-AR,Crawfordsville,no,0AR2,,0AR2
7085,0AR3,closed,"Taylor's Air Strip",36,-93,2160,NA,US,US-AR,Deer,no,,,
7086,0AR4,heliport,"Ozarks Community Hospital Heliport",36,-94,1251,NA,US,US-AR,Gravette,no,0AR4,,0AR4
7087,0AR5,heliport,"Rgnl Medical Center Heliport",36,-91,382,NA,US,US-AR,Jonesboro,no,0AR5,,0AR5
7088,0AR6,heliport,"Ami National Park Medical Center Heliport",34,-93,547,NA,US,US-AR,"Hot Springs",no,0AR6,,0AR6
7089,0AR7,closed,"Yancopin Airport",34,-91,150,NA,US,US-AR,Watson,no,,,
7090,0AR8,heliport,"Howard Memorial Hospital Heliport",34,-94,437,NA,US,US-AR,Nashville,no,0AR8,,0AR8
7091,0AR9,heliport,"Eureka Springs Hospital Heliport",36,-94,1540,NA,US,US-AR,"Eureka Springs",no,0AR9,,0AR9
7092,0AZ0,heliport,"Arizona Heart Hospital Heliport",33,-112,1161,NA,US,US-AZ,Phoenix,no,0AZ0,,0AZ0
7093,0AZ1,closed,"Taylor Field",32,-111,2130,NA,US,US-AZ,Marana,no,,,
7094,0AZ2,small_airport,"Western Sky Airport",34,-114,1930,NA,US,US-AZ,Salome,no,0AZ2,,0AZ2
7095,0AZ4,small_airport,"Flying Bucket Ranch Airport",33,-112,1505,NA,US,US-AZ,Maricopa,no,0AZ4,,0AZ4
7096,0AZ5,small_airport,"Castle Well Airport",34,-113,2080,NA,US,US-AZ,Morristown,no,0AZ5,,0AZ5
7097,0AZ6,heliport,"St Joseph's Hospital Heliport",33,-112,1213,NA,US,US-AZ,Phoenix,no,0AZ6,,0AZ6
7098,0AZ7,closed,"Sunstate Heliport",33,-112,1180,NA,US,US-AZ,Phoenix,no,,,
7099,0B2,small_airport,"Brewer Airport",45,-69,124,NA,US,US-ME,Brewer,no,0B2,,0B2
7100,0B7,small_airport,"Warren-Sugarbush Airport",44,-73,1470,NA,US,US-VT,Warren,no,K0B7,,0B7
7101,0C1,small_airport,"Triple R Airport",39,-95,1000,NA,US,US-MO,Dearborn,no,0C1,,0C1
7102,0C2,small_airport,"Hinckley Airport",42,-89,760,NA,US,US-IL,Hinckley,no,0C2,,0C2
7103,0C5,small_airport,"Canadian Lakes Airport",44,-85,960,NA,US,US-MI,"Canadian Lakes",no,K0C5,,0C5
7104,0C7,small_airport,"Grandpas' Farm Mendota Airport",42,-89,727,NA,US,US-IL,Mendota,no,IL22,,IL22
7105,0C8,small_airport,"Cushing Field Ltd Airport",42,-89,640,NA,US,US-IL,Newark,no,0C8,,0C8
7106,0C9,heliport,"Coach & Paddock Heliport",41,-75,320,NA,US,US-NJ,Clinton,no,0C9,,0C9
7107,0CA0,closed,"Drew Medical Center Heliport",34,-118,180,NA,US,US-CA,"Los Angeles",no,,,
7108,0CA1,closed,"Northside Airpark",35,-120,190,NA,US,US-CA,"Santa Maria",no,,,
7109,0CA2,heliport,"VA Greater Los Angeles Health Care Center Heliport",34,-118,294,NA,US,US-CA,"Los Angeles",no,0CA2,,0CA2
7110,0CA3,small_airport,"Crawford Airport",35,-120,570,NA,US,US-CA,"Santa Ynez",no,0CA3,,0CA3
7111,0CA4,small_airport,"Shepherd Farm Airport",35,-120,660,NA,US,US-CA,"Santa Ynez",no,0CA4,,0CA4
7112,0CA5,small_airport,"Hoffman Private Airport",33,-117,3100,NA,US,US-CA,"Santa Ysabel",no,0CA5,,0CA5
7113,0CA6,small_airport,"Emory Ranch Airport",33,-116,480,NA,US,US-CA,Ocotillo,no,0CA6,,0CA6
7114,0CA7,closed,"Boeing Seal Beach (Rooftop) Heliport",34,-118,158,NA,US,US-CA,"Seal Beach",no,,,
7115,0CA8,closed,"Ward Ranch Airport",33,-117,2500,NA,US,US-CA,Aguanga,no,,,
7116,0CA9,small_airport,"Blech Ranch Airport",36,-120,1140,NA,US,US-CA,Shandon,no,0CA9,,0CA9
7117,0CD0,heliport,"Delta County Memorial Hospital Heliport",39,-108,5000,NA,US,US-CO,Delta,no,0CD0,,0CD0
7118,0CD1,heliport,"Colorado Plains Medical Center Heliport",40,-104,4356,NA,US,US-CO,"Fort Morgan",no,0CD1,,0CD1
